assessment_id,student_id,course_id,score,attempt_date
198,22549,26,83,2/20/2021
199,48067,134,69,7/21/2022
200,17105,32,2,1/27/2022
201,11374,89,50,10/6/2022
202,47372,200,86,2/26/2024
203,29860,60,89,10/17/2021
204,33647,151,66,3/13/2024
205,36891,159,26,11/15/2021
206,44261,105,78,5/22/2022
207,14314,35,32,3/29/2021
208,11448,98,54,2/7/2020
209,19082,93,45,7/2/2021
210,1940,141,84,11/14/2021
211,32080,128,45,1/28/2020
212,2123,44,97,11/30/2020
213,31012,144,44,9/23/2020
214,16392,59,3,12/28/2021
215,4992,123,19,1/24/2021
216,30380,98,93,11/5/2024
217,4452,124,82,11/25/2021
218,8468,148,2,6/9/2021
219,35486,83,62,1/13/2023
220,46235,183,1,2/26/2021
221,4668,98,97,7/14/2024
222,11892,99,57,6/14/2020
223,29232,195,93,11/2/2022
224,27222,3,20,1/27/2021
225,45361,40,16,5/19/2022
226,14283,129,26,3/18/2023
227,36232,5,81,11/21/2022
228,1517,165,84,9/9/2024
229,17845,107,23,7/18/2022
230,17869,121,74,8/3/2024
231,17955,152,82,9/12/2023
232,7445,130,37,10/5/2021
233,38089,100,76,5/26/2021
234,21693,158,92,2/19/2022
235,26291,5,49,1/17/2020
236,26311,66,98,6/16/2021
237,33948,134,98,9/21/2023
238,27641,113,7,2/11/2020
239,19622,63,2,12/1/2023
240,25172,42,25,6/10/2024
241,5704,51,16,6/9/2020
242,3759,16,16,10/21/2023
243,44809,198,72,3/12/2024
244,129,150,11,8/2/2023
245,28266,54,55,4/13/2021
246,40462,30,8,10/16/2023
247,41850,197,82,4/14/2023
248,9322,191,26,11/22/2020
249,27014,186,37,2/6/2023
250,13669,92,0,6/16/2024
251,21405,177,89,10/31/2020
252,42307,71,34,8/26/2023
253,43264,46,59,1/29/2021
254,32721,44,63,1/12/2024
255,14318,49,68,3/14/2022
256,6829,35,67,2/18/2023
257,501,32,88,11/22/2022
258,16267,114,15,10/8/2024
259,35813,12,61,6/13/2022
260,27994,104,12,11/14/2020
261,9332,169,26,10/7/2023
262,7611,200,74,9/2/2020
263,18158,82,4,7/11/2021
264,32225,180,62,7/15/2021
265,12417,124,20,4/30/2021
266,49495,193,79,5/9/2022
267,29243,6,66,6/17/2023
268,33208,125,6,5/10/2022
269,15147,49,30,7/8/2020
270,13430,41,16,1/26/2024
271,14794,137,47,8/6/2024
272,23201,42,62,3/27/2022
273,34182,113,98,8/22/2021
274,37949,52,67,4/28/2021
275,41547,121,50,4/24/2024
276,175,95,77,1/8/2021
277,34409,44,19,5/13/2020
278,31844,100,33,12/17/2021
279,26099,6,89,3/22/2020
280,11067,125,81,5/6/2021
281,21575,97,33,2/25/2024
282,29871,7,96,3/28/2022
283,43850,188,57,8/12/2024
284,27858,71,54,12/28/2022
285,14792,98,41,7/12/2022
286,34614,99,8,8/10/2021
287,46259,120,45,7/9/2023
288,45496,125,39,2/27/2021
289,2898,183,18,3/11/2022
290,2594,168,50,7/12/2024
291,14960,36,65,11/18/2022
292,33245,185,96,7/8/2020
293,45737,165,55,3/13/2023
294,14860,36,96,12/6/2024
295,17119,22,8,2/9/2021
296,6900,39,0,2/9/2023
297,2390,147,52,5/19/2022
298,8665,5,22,7/3/2023
299,944,48,35,11/17/2022
300,14202,190,92,2/10/2020
301,55,130,55,6/21/2020
302,39284,58,100,5/16/2024
303,22228,93,30,2/19/2022
304,35169,192,57,1/22/2023
305,32301,71,99,8/30/2024
306,39332,14,54,5/8/2023
307,242,179,61,8/17/2023
308,29987,19,74,7/3/2021
309,49525,66,89,12/16/2021
310,31723,71,89,7/17/2021
311,34842,2,76,3/8/2020
312,42516,82,84,12/14/2024
313,46496,185,15,2/5/2021
314,13290,7,83,1/31/2020
315,33372,57,98,4/17/2023
316,19469,1,84,1/12/2021
317,34614,82,4,9/8/2023
318,43789,85,2,12/15/2024
319,17166,18,37,7/12/2023
320,8442,131,76,4/23/2020
321,4251,158,30,10/5/2021
322,48233,124,89,2/23/2020
323,18291,158,82,6/7/2020
324,23335,79,23,8/26/2022
325,21894,126,50,9/23/2021
326,741,155,57,10/8/2023
327,22863,52,5,6/7/2021
328,45517,177,7,1/29/2021
329,27558,4,56,4/2/2020
330,6621,34,74,11/3/2021
331,42619,151,75,11/20/2024
332,22715,100,32,12/19/2021
333,29402,84,55,4/19/2023
334,35826,147,65,10/6/2021
335,18711,61,11,4/11/2024
336,16876,149,89,11/6/2021
337,37866,57,47,3/29/2023
338,21607,15,73,2/2/2021
339,15758,67,32,3/3/2024
340,11630,78,67,7/6/2023
341,6170,67,68,1/23/2023
342,2922,46,69,12/23/2021
343,7736,17,93,3/25/2020
344,32083,26,46,2/24/2024
345,27625,124,42,2/14/2020
346,10022,98,72,2/13/2021
347,49796,20,7,4/2/2021
348,49168,43,80,5/27/2021
349,36501,29,97,5/8/2022
350,47580,111,100,9/5/2020
351,13250,9,90,10/29/2022
352,42129,101,39,1/1/2020
353,37716,109,5,6/17/2024
354,2416,151,30,12/20/2020
355,48227,47,97,9/29/2020
356,48959,144,85,11/2/2021
357,31665,134,61,9/11/2023
358,1750,121,95,4/25/2021
359,49612,85,54,7/3/2024
360,1042,143,95,2/1/2024
361,38311,22,32,8/17/2021
362,13918,129,46,6/30/2022
363,41926,174,53,12/24/2023
364,11849,187,84,12/29/2023
365,25492,118,31,10/31/2024
366,42684,57,8,11/24/2024
367,46774,104,42,9/27/2020
368,44532,131,93,6/13/2020
369,43650,82,41,9/9/2023
370,3886,149,44,4/9/2021
371,49525,154,25,7/22/2022
372,13932,5,47,6/19/2020
373,21499,131,99,2/12/2022
374,25900,182,18,8/15/2021
375,379,147,57,12/1/2024
376,2260,60,86,5/21/2021
377,1508,190,51,3/19/2022
378,4848,159,25,6/26/2021
379,25194,63,18,3/27/2022
380,46641,32,60,1/15/2021
381,9031,34,90,10/22/2023
382,30217,199,27,2/5/2024
383,26563,50,62,5/6/2023
384,44045,200,8,10/23/2021
385,2648,121,52,11/3/2024
386,13905,183,25,8/19/2023
387,13247,31,76,3/26/2023
388,2111,98,10,2/9/2023
389,6431,31,1,6/23/2024
390,48277,112,99,6/27/2020
391,35630,134,89,8/1/2023
392,24838,24,34,7/25/2022
393,22765,64,94,8/22/2021
394,1538,98,16,8/22/2024
395,42884,57,23,8/7/2024
396,30162,23,81,4/27/2024
397,11631,82,98,2/7/2021
398,43588,103,82,9/26/2022
399,39324,89,20,6/24/2023
400,26730,64,39,10/18/2022
401,7781,47,67,6/26/2022
402,15011,86,67,4/25/2020
403,45154,32,33,2/5/2020
404,30196,16,33,11/26/2023
405,18766,93,12,9/3/2023
406,29819,107,58,8/21/2024
407,31106,194,56,1/6/2021
408,15759,82,20,11/8/2023
409,42176,59,31,6/4/2024
410,5605,113,4,9/30/2024
411,36790,50,46,2/9/2020
412,1559,143,25,2/4/2024
413,36060,136,37,8/11/2023
414,10734,175,76,4/9/2022
415,41482,150,99,8/20/2024
416,24385,57,37,9/7/2020
417,41213,26,8,12/29/2023
418,28830,18,20,8/11/2020
419,41884,105,98,10/4/2023
420,37758,17,54,10/24/2020
421,181,186,49,11/8/2020
422,3677,197,10,6/14/2023
423,6770,157,79,9/7/2023
424,12991,97,80,5/16/2022
425,20372,101,100,12/28/2020
426,33448,156,67,11/24/2020
427,49312,130,26,6/27/2021
428,9229,49,6,4/27/2022
429,47611,47,12,6/6/2022
430,29404,136,74,9/28/2023
431,10818,116,14,2/7/2024
432,40509,112,93,11/29/2023
433,24474,115,10,11/16/2024
434,10131,198,65,8/22/2021
435,21882,25,68,1/8/2021
436,27179,99,61,5/21/2022
437,3253,128,36,6/23/2020
438,38691,133,79,1/3/2021
439,26300,37,54,7/18/2023
440,30765,156,59,2/4/2022
441,10807,73,86,7/4/2020
442,23785,143,91,11/7/2023
443,6105,56,44,2/19/2021
444,31004,8,20,12/5/2021
445,31694,128,93,11/16/2023
446,39982,31,99,10/6/2023
447,28167,199,57,6/3/2023
448,26046,49,85,3/8/2024
449,11577,10,18,6/7/2021
450,24500,67,36,3/14/2022
451,22560,162,54,12/18/2022
452,2896,161,13,4/17/2024
453,21317,180,14,1/18/2024
454,20508,193,99,5/4/2021
455,33154,37,87,12/7/2020
456,46892,65,13,9/28/2022
457,28707,87,94,7/15/2024
458,37689,170,34,4/29/2022
459,44981,172,44,6/28/2024
460,23308,192,43,9/3/2023
461,9840,58,78,12/15/2023
462,9706,79,3,1/13/2024
463,37480,172,51,9/28/2022
464,31571,103,68,6/25/2020
465,30616,131,66,3/27/2023
466,11203,96,63,3/22/2024
467,45592,7,9,3/19/2023
468,42087,59,57,3/28/2023
469,8511,11,84,5/30/2022
470,30455,17,78,1/25/2024
471,10446,20,62,1/19/2022
472,18511,17,87,8/26/2020
473,9198,71,7,11/6/2024
474,29980,90,71,1/15/2023
475,20821,160,57,5/18/2023
476,24920,27,30,10/1/2022
477,44668,53,13,1/11/2021
478,10927,148,38,6/9/2021
479,12771,163,46,3/10/2020
480,24812,99,4,3/25/2020
481,36975,145,85,8/28/2023
482,27818,130,23,6/5/2021
483,34076,87,5,1/1/2022
484,18474,136,99,3/15/2023
485,13233,10,67,12/26/2023
486,44471,10,1,6/6/2024
487,40003,9,63,4/12/2024
488,31918,74,60,3/30/2022
489,15779,158,86,3/30/2023
490,17906,134,46,9/15/2024
491,25783,127,6,5/15/2024
492,28491,157,35,1/18/2020
493,4840,134,46,5/20/2024
494,27849,124,83,12/9/2023
495,31259,121,3,5/18/2022
496,9259,168,98,2/27/2023
497,7659,37,38,10/22/2022
498,28384,165,31,11/14/2023
499,47858,79,19,12/18/2023
500,13206,67,80,5/23/2021
501,801,20,51,1/21/2020
502,40960,148,38,4/11/2020
503,18414,178,71,10/11/2023
504,13027,172,18,7/19/2020
505,29200,74,34,9/18/2024
506,16077,49,91,11/2/2022
507,20798,171,27,12/11/2023
508,951,80,17,5/2/2023
509,37080,3,20,11/25/2021
510,34242,58,1,1/11/2022
511,17254,92,43,5/30/2022
512,46129,18,91,7/25/2024
513,43201,94,44,7/1/2021
514,40585,13,23,1/25/2021
515,33181,105,64,3/15/2022
516,2242,24,20,6/24/2022
517,31270,190,8,2/12/2022
518,7675,139,45,10/5/2022
519,8755,91,51,2/26/2020
520,32504,93,19,10/17/2022
521,36556,4,98,3/25/2021
522,24204,112,30,12/30/2021
523,15076,7,98,12/13/2024
524,24580,106,93,11/30/2024
525,23590,172,59,6/30/2023
526,34597,122,25,7/16/2020
527,22558,113,87,8/12/2021
528,48156,71,3,2/10/2021
529,14873,45,26,10/10/2023
530,43015,18,25,5/13/2021
531,36270,143,92,7/10/2022
532,6640,98,12,3/26/2020
533,25488,15,41,10/6/2021
534,43983,23,76,7/18/2020
535,25188,143,91,8/22/2021
536,11123,101,49,1/2/2023
537,37877,83,0,4/20/2024
538,29592,192,85,3/29/2021
539,13991,10,8,8/9/2022
540,1620,147,48,6/16/2021
541,4816,3,78,2/1/2024
542,33059,87,98,3/26/2021
543,32869,197,22,1/28/2024
544,8106,99,90,1/13/2020
545,21395,97,69,3/6/2020
546,33002,162,50,4/5/2024
547,46231,44,62,6/27/2021
548,13514,168,8,12/30/2024
549,22131,157,94,4/7/2024
550,25500,113,65,3/22/2022
551,18611,196,99,2/3/2024
552,29383,173,1,6/6/2024
553,37317,78,95,8/9/2024
554,47437,5,14,5/25/2021
555,18423,2,42,1/19/2022
556,8791,14,17,1/9/2024
557,23505,162,80,5/29/2024
558,20992,8,51,8/4/2023
559,4981,106,78,10/14/2024
560,7203,182,22,9/19/2022
561,17268,15,29,2/3/2023
562,44807,21,61,5/24/2020
563,18205,36,53,8/30/2020
564,20155,12,96,1/3/2024
565,4833,143,48,12/29/2021
566,32712,40,20,5/6/2021
567,19785,84,28,8/20/2020
568,25023,188,86,8/7/2021
569,13282,113,67,3/3/2021
570,20844,150,40,3/5/2023
571,42232,171,61,4/14/2023
572,5666,113,7,7/12/2022
573,12966,176,72,9/10/2024
574,49651,78,8,3/25/2023
575,28013,146,63,1/19/2021
576,48397,192,20,1/31/2020
577,6699,38,21,8/16/2024
578,29281,52,34,1/25/2020
579,11785,17,42,11/5/2021
580,33697,14,59,11/19/2024
581,6923,98,92,6/16/2024
582,1256,64,33,2/25/2022
583,43716,29,75,1/12/2023
584,11915,86,44,1/13/2022
585,32483,56,66,9/7/2023
586,4156,16,86,8/13/2022
587,12433,130,99,8/13/2022
588,49984,39,74,9/1/2021
589,15839,105,2,2/5/2024
590,45064,99,68,2/9/2020
591,9641,45,58,12/25/2022
592,18784,196,91,5/29/2020
593,4120,200,78,1/26/2021
594,6545,196,97,12/28/2021
595,1284,53,91,12/3/2021
596,14362,121,8,12/18/2022
597,11698,20,94,6/19/2022
598,8482,30,68,2/26/2022
599,35075,53,77,8/15/2020
600,8984,154,48,12/27/2021
601,26078,6,89,1/14/2023
602,34012,113,63,6/30/2020
603,12736,65,3,10/11/2020
604,46767,87,65,6/29/2021
605,22912,14,43,2/17/2020
606,401,57,75,1/10/2021
607,36991,97,86,9/5/2021
608,20536,40,50,3/9/2020
609,4893,199,72,3/31/2023
610,34633,126,36,8/8/2021
611,42998,69,83,7/9/2022
612,4854,119,36,8/14/2020
613,15174,30,49,3/13/2022
614,6422,34,58,11/24/2022
615,10949,94,92,1/25/2021
616,13828,162,7,4/5/2022
617,1962,146,0,11/22/2022
618,13104,170,99,1/9/2021
619,27438,75,45,3/9/2024
620,10394,28,23,6/2/2024
621,35298,63,29,1/18/2022
622,49520,158,11,4/2/2020
623,8731,49,45,11/3/2023
624,32634,67,48,8/21/2021
625,39310,39,17,9/20/2021
626,28871,64,97,8/16/2022
627,21539,170,99,3/13/2021
628,12389,64,95,2/8/2023
629,35527,178,97,5/23/2021
630,41301,121,66,11/11/2022
631,18048,22,60,8/20/2022
632,27114,150,62,8/7/2024
633,39769,106,79,6/23/2023
634,30514,112,10,12/8/2023
635,45299,93,77,1/27/2022
636,42857,109,53,5/22/2023
637,7830,31,39,2/17/2020
638,34524,22,92,9/15/2020
639,24028,138,74,3/20/2023
640,30244,113,73,5/13/2021
641,10197,141,71,3/13/2021
642,37802,75,59,6/15/2020
643,47983,68,83,4/6/2021
644,23606,8,57,10/13/2020
645,7307,177,92,12/13/2022
646,7972,38,22,8/11/2020
647,21290,15,70,5/17/2022
648,37954,76,39,6/16/2021
649,47090,94,84,11/15/2020
650,22273,94,0,7/12/2021
651,11342,171,24,3/23/2021
652,31099,39,91,6/4/2021
653,9955,114,64,5/15/2023
654,20780,3,26,9/26/2021
655,8553,139,82,10/24/2021
656,35541,132,38,8/1/2021
657,17561,106,12,4/5/2021
658,20613,139,6,9/4/2023
659,37437,39,75,9/26/2023
660,5719,183,39,11/11/2022
661,9506,96,79,1/21/2024
662,12935,21,44,6/29/2021
663,22946,40,91,3/22/2023
664,19950,194,6,10/22/2024
665,45188,144,87,7/1/2022
666,17763,44,66,9/9/2020
667,20055,182,49,11/9/2022
668,39136,18,79,7/7/2023
669,21477,192,69,7/5/2024
670,22308,53,97,8/31/2024
671,20816,127,71,10/30/2023
672,9242,184,0,2/10/2024
673,17142,11,63,9/5/2021
674,34661,175,92,12/29/2023
675,35671,184,82,7/9/2021
676,23029,106,8,8/27/2023
677,12165,51,84,4/22/2023
678,9246,134,62,10/21/2023
679,19526,60,93,10/24/2020
680,43294,99,25,5/17/2020
681,47803,27,85,5/5/2022
682,5343,131,79,2/22/2022
683,27753,73,99,6/11/2021
684,35567,126,73,7/22/2021
685,4955,96,40,3/6/2020
686,5659,159,96,7/25/2021
687,25876,190,36,10/22/2022
688,2131,154,89,4/20/2024
689,40908,129,43,12/5/2024
690,13320,116,34,8/2/2022
691,1259,151,1,4/10/2020
692,29533,122,84,8/16/2020
693,34691,9,10,6/18/2023
694,35198,36,85,4/2/2021
695,42126,71,14,1/24/2020
696,36639,53,5,1/18/2021
697,24024,83,84,4/26/2024
698,24341,167,4,6/5/2021
699,26836,69,29,2/22/2021
700,33660,141,22,2/15/2023
701,41374,93,93,1/14/2020
702,28628,65,78,7/1/2023
703,2161,63,15,4/15/2021
704,17706,42,18,11/16/2024
705,25986,93,4,1/21/2023
706,14203,47,22,5/11/2021
707,40481,97,44,12/3/2024
708,30705,44,38,5/5/2021
709,14906,30,18,4/18/2021
710,40295,145,52,4/19/2024
711,30480,112,54,8/29/2020
712,45944,3,56,10/19/2023
713,512,165,27,10/5/2023
714,6330,11,30,4/5/2022
715,49059,38,47,6/8/2023
716,22211,10,49,1/20/2023
717,11128,119,14,1/17/2024
718,29716,72,32,12/26/2020
719,2386,76,61,12/5/2021
720,46177,122,32,7/29/2023
721,8942,160,97,7/28/2020
722,2537,195,63,10/17/2022
723,23356,197,21,1/22/2022
724,9991,143,35,5/4/2021
725,17926,110,16,4/15/2021
726,3263,187,90,5/19/2023
727,10957,155,52,10/25/2020
728,40145,200,62,8/5/2022
729,21699,160,5,11/15/2020
730,17742,63,28,9/18/2022
731,38570,162,41,2/25/2021
732,13296,19,12,9/9/2024
733,46568,198,60,12/5/2020
734,31278,64,28,9/24/2023
735,43578,195,13,3/10/2021
736,33700,146,44,11/5/2023
737,38998,99,31,12/7/2020
738,49400,86,28,3/14/2020
739,38227,127,5,7/22/2021
740,6152,166,36,10/13/2021
741,44359,85,55,2/1/2022
742,35018,79,85,6/2/2022
743,37982,151,65,6/27/2021
744,12001,196,55,9/15/2024
745,6565,81,25,2/6/2023
746,6549,131,69,6/22/2020
747,30771,68,47,8/28/2024
748,2350,8,33,11/23/2023
749,18958,140,70,10/25/2024
750,41745,172,95,9/2/2023
751,25254,83,1,4/3/2023
752,46520,5,61,10/31/2021
753,7676,186,80,6/29/2020
754,65,136,93,1/5/2024
755,38924,4,33,6/23/2022
756,38355,32,77,2/13/2023
757,20033,143,52,7/14/2022
758,7850,18,60,6/16/2023
759,30908,123,14,10/15/2023
760,16572,1,7,10/28/2024
761,20735,185,15,6/30/2021
762,33794,104,19,8/26/2023
763,49433,74,0,10/19/2021
764,33194,152,80,11/14/2023
765,20599,147,61,7/25/2022
766,5304,37,20,11/7/2021
767,46657,74,33,8/30/2021
768,22986,129,34,7/6/2024
769,20346,195,22,4/9/2023
770,7708,155,72,2/13/2020
771,18937,141,86,5/7/2020
772,31446,75,71,1/7/2021
773,21770,76,94,10/4/2023
774,33000,159,13,5/17/2024
775,33309,173,63,3/16/2022
776,44562,198,36,9/2/2023
777,45485,35,91,2/7/2020
778,30797,162,18,4/19/2020
779,46573,51,57,2/11/2022
780,8910,171,45,5/3/2023
781,14692,96,38,11/18/2021
782,26912,181,76,2/17/2021
783,28500,95,78,8/5/2022
784,33075,145,48,8/11/2022
785,40232,162,43,2/11/2023
786,10781,66,74,12/6/2022
787,7497,169,34,5/22/2021
788,38583,158,64,3/24/2022
789,43366,84,70,1/31/2021
790,26412,73,95,1/13/2023
791,34945,169,0,3/24/2024
792,33594,71,54,12/2/2021
793,29685,186,46,3/5/2020
794,35062,69,11,11/29/2023
795,24442,164,2,1/22/2024
796,22872,108,60,3/8/2024
797,37360,30,53,8/29/2020
798,41221,18,21,1/8/2020
799,35486,2,9,10/22/2023
800,14336,172,10,3/31/2023
801,28818,159,13,6/8/2021
802,20477,127,54,5/28/2023
803,12504,62,61,9/8/2024
804,43569,94,19,12/18/2022
805,9956,90,66,3/24/2020
806,19153,100,80,4/9/2020
807,32834,199,14,9/29/2022
808,35760,87,32,6/20/2024
809,18750,60,36,11/23/2021
810,24969,153,37,6/17/2024
811,2615,189,90,10/19/2024
812,21646,149,28,7/24/2020
813,35391,84,31,5/25/2023
814,15788,37,49,9/13/2020
815,15843,106,88,9/21/2023
816,11930,59,37,4/1/2023
817,12375,31,83,3/12/2023
818,25520,45,22,7/31/2020
819,10301,78,17,4/30/2020
820,3143,66,19,10/8/2021
821,10948,137,99,11/21/2022
822,32354,65,87,11/27/2023
823,31911,3,36,9/19/2021
824,21559,174,92,12/25/2020
825,42602,93,42,3/24/2021
826,3951,114,66,8/15/2020
827,40930,169,89,3/2/2023
828,44363,190,1,12/18/2023
829,49497,77,90,4/17/2022
830,6920,157,24,6/10/2023
831,32740,102,74,4/5/2021
832,10915,96,15,9/12/2021
833,13143,115,61,9/1/2022
834,16973,128,70,10/16/2023
835,32583,68,48,2/8/2020
836,18873,71,65,8/30/2020
837,1060,163,38,12/16/2024
838,32177,98,89,4/19/2021
839,5543,36,91,11/4/2024
840,23516,134,95,10/7/2023
841,29653,113,48,2/15/2021
842,48049,35,13,9/4/2021
843,16937,66,7,9/1/2023
844,31618,200,56,5/5/2020
845,47122,192,65,6/5/2024
846,43771,88,49,10/8/2021
847,39723,185,28,3/30/2022
848,49724,106,60,3/18/2021
849,37743,155,73,5/21/2022
850,18262,86,65,12/11/2022
851,28360,112,1,8/7/2024
852,48040,174,19,11/29/2022
853,19714,171,73,9/11/2023
854,38838,60,31,7/17/2023
855,34822,23,66,11/30/2023
856,7250,115,39,11/26/2023
857,46525,30,42,8/3/2022
858,687,187,17,11/20/2022
859,37477,57,34,5/9/2020
860,41732,171,34,1/7/2024
861,24839,151,83,1/24/2024
862,22933,163,41,4/24/2021
863,41172,148,87,10/10/2022
864,20179,26,59,2/22/2020
865,44088,102,77,10/29/2023
866,20564,185,83,8/31/2021
867,23773,98,78,1/16/2022
868,12785,137,62,6/26/2020
869,36161,80,0,6/24/2020
870,17822,169,6,5/29/2023
871,8955,110,60,3/1/2023
872,32201,122,10,10/1/2022
873,45413,194,57,4/9/2024
