enrollment_id,student_id,course_id,enroll_date,status
115,23235,80,2020-06-13,completed
116,38527,187,2020-08-12,active
117,18641,106,2021-03-01,completed
118,382820,122,2020-08-14,active
119,465860,60,2022-12-31,completed
120,23031,8,2022-07-12,active
121,33756,86,2023-08-02,completed
122,34531,49,2022-03-23,completed
123,26490,69,2020-04-04,active
124,42652,160,2023-09-20,completed
125,49544,183,2022-08-30,completed
126,15555,17,2024-08-13,dropped
127,479,150,2020-03-09,completed
128,28013,98,2024-04-06,completed
129,41249,149,2024-07-05,dropped
130,34621,1750,2020-04-12,completed
131,21427,167,2021-07-20,active
132,18041,185,2021-10-14,dropped
133,32178,48,2022-08-14,completed
134,11099,30,2023-10-11,active
135,46232,77,2023-05-21,INVALID
136,21440,34,2023-05-13,dropped
137,12232,105,2023-01-23,active
138,37880,1300,2024-07-29,active
139,49311,24,2020-03-03,active
140,11028,86,2024-12-05,active
141,53328,1640,2020-07-19,active
142,32253,10,2023-06-28,active
143,45431,33,2023-01-05,completed
144,46780,51,2022-09-15,completed
145,113990,1210,2023-04-21,completed
146,24018,52,2024-03-17,active
147,50080,34,2021-12-05,active
148,16934,63,2023-01-30,completed
149,20303,189,2022-06-20,active
150,5152,134,2021-07-18,completed
151,11660,190,2022-10-29,active
152,8547,4,2024-10-27,completed
153,49569,1250,2022-03-21,active
154,30780,43,2020-01-12,active
155,31033,122,2023-05-19,dropped
156,40356,118,2021-05-06,active
157,30025,156,2023-07-04,completed
158,16570,87,2022-01-07,dropped
159,11962,195,2023-05-18,completed
160,36447,111,2023-05-18,completed
161,25322,5,2021-01-05,active
162,544900,101,2020-01-04,active
163,34764,187,2022-07-22,INVALID
164,55155,44,2023-08-24,dropped
165,44815,42,2024-07-26,completed
166,14344,176,2023-07-03,completed
167,35732,159,2023-09-16,active
168,13947,170,2020-03-06,active
169,11522,141,2021-02-04,completed
170,370440,101,2022-06-17,completed
171,7497,97,2021-02-15,completed
172,44975,157,2020-04-13,completed
173,4960,103,2020-09-09,completed
174,15996,61,2022-11-05,active
175,22353,113,2020-11-26,active
176,161450,170,2021-09-11,completed
177,34458,760,2021-09-20,completed
178,165090,188,2021-10-11,dropped
179,42876,100,2020-05-22,dropped
180,38642,107,2023-12-31,INVALID
181,32927,88,2022-04-12,active
182,549040,81,2021-12-19,dropped
183,186180,136,2020-11-06,completed
184,45444,67,2024-12-27,completed
185,48635,38,2020-03-31,active
186,20837,108,2021-02-16,completed
187,52861,160,2020-03-04,dropped
188,38894,149,2024-06-13,dropped
189,47538,172,2022-11-28,dropped
190,4172,19,2024-06-11,dropped
191,48852,103,2024-09-09,active
192,548250,7,2021-03-22,dropped
193,38675,153,2022-03-26,dropped
194,53948,18,2023-08-19,dropped
195,14312,2,2020-01-04,active
196,55056,137,2023-08-28,active
197,37999,126,2021-01-11,dropped
198,6864,190,2024-07-11,dropped
199,44666,18,2021-12-09,active
200,17294,32,2020-10-09,completed
201,173800,54,2024-06-07,active
202,46590,190,2022-08-27,INVALID
203,33007,6,2020-09-17,completed
204,26543,158,2024-04-24,INVALID
205,19332,107,2022-01-02,dropped
206,534,630,2022-07-24,INVALID
207,37762,29,2024-11-03,completed
208,51291,49,2021-05-13,completed
209,481090,79,2020-08-16,active
210,46911,60,2024-02-27,active
211,16413,175,2023-12-21,dropped
212,16234,186,2020-07-14,active
213,44803,117,2021-12-16,dropped
214,35729,48,2021-08-20,active
215,52461,98,2020-01-23,active
216,2501,102,2021-12-27,completed
217,47116,11,2023-04-27,completed
218,37192,156,2024-11-03,completed
219,26240,192,2021-06-20,active
220,38731,153,2020-07-30,active
221,36988,440,2022-11-01,dropped
222,25354,12,2024-07-18,completed
223,43962,139,2023-09-24,completed
224,45315,1430,2020-04-26,dropped
225,46106,135,2024-07-24,INVALID
226,7565,44,2024-03-24,active
227,2460,176,2024-03-10,completed
228,23913,182,2023-04-14,completed
229,35101,198,2024-02-11,dropped
230,40592,64,2021-02-13,INVALID
231,46273,197,2022-11-10,completed
232,878,58,2023-07-16,dropped
233,15588,56,2024-07-01,dropped
234,29582,5,2021-03-12,dropped
235,46714,3,2024-08-26,active
236,13965,126,2021-01-14,active
237,54518,66,2021-10-02,dropped
238,52596,79,2023-04-02,dropped
239,5872,3,2024-11-01,dropped
240,13991,69,2024-11-26,active
241,10249,124,2021-07-17,dropped
242,28885,460,2021-06-20,completed
243,33309,89,2023-03-30,active
244,53118,116,2022-08-12,INVALID
245,54724,50,2020-09-15,dropped
246,272660,112,2023-09-15,active
247,33108,121,2021-05-04,dropped
248,548810,8,2024-07-17,completed
249,28569,154,2023-07-07,INVALID
250,4597,5,2022-12-18,completed
251,26952,17,2020-01-14,completed
252,693,147,2023-08-02,INVALID
253,1318,136,2021-12-09,completed
254,43879,6,2023-11-11,completed
255,27720,80,2020-03-01,active
256,26585,124,2020-08-10,INVALID
257,9864,14,2021-01-11,INVALID
258,546650,1500,2024-12-01,completed
259,15840,1730,2022-02-11,dropped
260,3843,43,2022-12-17,dropped
261,26462,165,2023-02-28,dropped
262,49636,125,2022-04-15,dropped
263,43747,830,2023-12-15,completed
264,11022,760,2023-10-07,dropped
265,11919,84,2021-02-10,INVALID
266,28380,133,2020-03-08,active
267,5880,51,2023-08-15,active
268,2649,106,2022-03-12,INVALID
269,4155,193,2024-07-09,active
270,48506,151,2024-12-21,completed
271,28408,45,2020-03-14,active
272,16290,116,2021-08-20,INVALID
273,54575,600,2020-03-25,completed
274,386420,45,2022-11-13,dropped
275,11294,177,2024-06-20,dropped
276,51114,112,2021-10-05,completed
277,14670,109,2021-12-10,dropped
278,335170,76,2024-03-05,dropped
279,5564,100,2024-12-01,completed
280,8303,69,2020-02-24,dropped
281,25062,165,2023-05-04,completed
282,6373,111,2023-11-16,completed
283,17970,69,2022-10-23,completed
284,149,103,2020-09-28,dropped
285,100070,176,2024-09-29,dropped
286,19252,1010,2023-03-19,dropped
287,47691,116,2020-08-29,completed
288,20371,7,2024-07-02,active
289,215740,60,2023-09-20,active
290,6374,121,2022-09-22,active
291,38149,197,2022-09-08,completed
292,315180,191,2020-01-31,dropped
293,20132,68,2021-10-05,completed
294,1388,1160,2024-05-27,dropped
295,30648,150,2024-06-10,completed
296,41866,110,2021-08-21,dropped
297,42803,102,2024-11-20,active
298,12572,33,2023-02-10,completed
299,45044,151,2023-09-22,active
300,485120,60,2020-11-28,dropped
301,7209,72,2024-02-05,completed
302,4577,127,2024-02-26,completed
303,47272,82,2023-04-07,completed
304,10411,31,2021-11-12,active
305,43658,72,2024-01-22,completed
306,4624,195,2020-06-01,dropped
307,24577,1470,2024-01-06,completed
308,36780,180,2022-03-27,active
309,45386,138,2020-07-20,dropped
310,15205,40,2022-09-08,active
311,20059,600,2022-05-18,active
312,25909,89,2020-01-09,dropped
313,37043,1000,2023-05-08,active
314,52797,9,2022-11-27,active
315,43204,136,2024-09-06,dropped
316,31107,87,2024-07-20,completed
317,304380,1850,2023-11-03,active
318,833,150,2020-09-29,active
319,16043,9,2022-08-19,active
320,27039,100,2023-03-11,dropped
321,23453,19,2022-03-25,active
322,19816,93,2022-03-18,active
323,9502,134,2024-08-20,dropped
324,24963,1,2023-07-04,active
325,1124,1330,2022-09-25,completed
326,50013,80,2023-07-17,active
327,50295,33,2024-11-06,completed
328,28346,183,2020-09-10,completed
329,43884,110,2021-10-12,INVALID
330,32278,112,2024-10-20,active
331,21219,162,2020-04-18,completed
332,27644,141,2022-11-28,completed
333,44908,1520,2022-04-09,active
334,34610,114,2022-03-08,completed
335,47503,14,2020-12-26,active
336,7134,540,2024-04-12,dropped
337,45521,90,2020-03-18,dropped
338,47306,60,2020-02-06,dropped
339,228760,56,2024-05-04,dropped
340,39405,106,2020-01-04,active
341,16743,165,2022-04-05,completed
342,28386,97,2024-10-10,completed
343,17002,27,2024-06-14,completed
344,33707,180,2022-11-16,dropped
345,293190,580,2024-08-24,dropped
346,8326,192,2023-05-11,active
347,20216,149,2022-03-11,dropped
348,32464,184,2022-09-23,dropped
349,15587,149,2023-07-31,dropped
350,13847,194,2022-06-22,active
351,30452,10,2020-06-24,active
352,523350,54,2020-08-03,INVALID
353,47581,88,2021-12-02,dropped
354,42980,162,2021-04-13,INVALID
355,3819,198,2024-03-15,active
356,25223,40,2021-05-28,active
357,30766,137,2022-01-11,active
358,30813,150,2024-07-02,dropped
359,4552,31,2020-04-10,dropped
360,44651,147,2024-07-15,active
361,46838,187,2023-08-22,completed
362,25536,99,2021-12-27,INVALID
363,31840,86,2023-12-14,dropped
364,52159,191,2021-03-30,active
365,1814,42,2020-11-18,dropped
366,9807,98,2020-02-09,active
367,53878,156,2021-09-17,completed
368,30308,10,2022-07-26,INVALID
369,45304,57,2022-06-03,active
370,4308,170,2024-07-05,active
371,5084,28,2022-05-05,completed
372,17897,21,2022-10-27,dropped
373,50854,1660,2024-03-20,active
374,5864,390,2023-09-17,completed
375,45792,17,2021-08-25,dropped
376,12613,143,2024-07-14,active
377,21082,10,2021-09-05,dropped
378,30347,79,2022-08-06,dropped
379,2920,16,2020-02-02,INVALID
380,219930,191,2022-06-24,dropped
381,18983,169,2021-01-24,active
382,15150,109,2020-03-23,dropped
383,32445,164,2024-07-16,dropped
384,43538,79,2021-01-19,active
385,21014,43,2021-10-28,dropped
386,42332,157,2020-02-09,dropped
387,325,164,2023-01-12,completed
388,34455,191,2021-11-08,dropped
389,51770,110,2022-10-07,completed
390,42318,182,2024-08-01,dropped
391,23303,1530,2024-04-28,completed
392,51857,34,2023-02-03,completed
393,55121,170,2021-04-23,completed
394,40635,680,2021-08-23,completed
395,28229,390,2020-01-30,dropped
396,44705,100,2021-04-10,completed
397,54541,119,2024-06-20,completed
398,10211,93,2022-04-02,active
399,17012,149,2021-04-30,active
400,22462,370,2022-10-09,completed
401,35542,182,2024-11-21,active
402,123670,26,2021-08-17,completed
403,4616,88,2023-02-18,completed
404,17044,200,2023-01-23,completed
405,34116,188,2020-02-25,completed
406,11548,183,2021-07-26,INVALID
407,42980,107,2021-09-25,INVALID
408,39430,169,2021-05-15,active
409,28096,15,2020-01-25,dropped
410,18565,103,2022-09-25,dropped
411,272420,109,2021-12-20,completed
412,26529,161,2023-11-17,active
413,45264,1230,2020-09-17,INVALID
414,42377,128,2020-04-30,completed
415,40468,530,2020-05-19,completed
416,6901,145,2021-07-16,dropped
417,29876,5,2020-04-09,completed
418,36310,179,2023-03-07,completed
419,9540,1190,2022-09-02,active
420,20843,112,2021-01-17,dropped
421,21212,54,2022-05-31,completed
422,490600,163,2022-12-20,active
423,33811,40,2022-05-05,active
424,21120,171,2020-12-27,completed
425,37372,140,2023-12-26,completed
426,50214,148,2022-05-10,completed
427,36201,710,2022-12-09,completed
428,39107,1940,2023-06-13,active
429,32126,85,2023-08-09,active
430,29416,76,2023-09-21,completed
431,49176,88,2023-12-13,completed
432,12147,86,2023-06-17,completed
433,45741,17,2021-08-19,active
434,374730,46,2022-07-16,INVALID
435,13171,5,2022-04-29,completed
436,34690,82,2020-02-20,INVALID
437,29313,58,2023-12-14,INVALID
438,12159,3,2022-11-15,completed
439,22986,197,2020-11-01,INVALID
440,23582,141,2021-09-05,INVALID
441,39819,175,2023-03-06,completed
442,24042,36,2024-11-20,dropped
443,53874,90,2024-06-19,dropped
444,13728,178,2024-10-04,active
445,52992,9,2024-03-06,active
446,24132,80,2023-12-03,completed
447,10435,60,2020-07-26,completed
448,48743,90,2024-09-20,active
449,46260,43,2021-08-08,dropped
450,28938,165,2022-08-18,dropped
451,22205,177,2020-03-02,INVALID
452,15949,137,2022-10-18,active
453,37347,59,2022-08-10,active
454,5064,27,2023-03-01,dropped
455,28548,186,2022-10-05,dropped
456,13326,170,2023-11-01,active
457,31360,157,2024-12-01,active
458,46127,125,2021-10-06,completed
459,288520,71,2023-03-01,dropped
460,37299,49,2020-11-18,INVALID
461,544990,34,2024-01-31,dropped
462,37546,116,2021-12-29,completed
463,26868,75,2023-04-04,completed
464,3907,113,2023-05-30,completed
465,23283,190,2022-05-26,completed
466,26427,44,2022-04-20,dropped
467,18097,1080,2021-04-05,dropped
468,43213,14,2024-10-23,active
469,10620,55,2021-03-16,active
470,40281,33,2022-10-25,completed
471,25313,149,2024-04-14,completed
472,51916,91,2023-01-17,active
473,2113,1890,2022-07-06,INVALID
474,2849,181,2021-11-10,active
475,12271,62,2024-09-28,dropped
476,12524,194,2023-02-17,completed
477,29148,163,2024-10-23,dropped
478,29879,96,2020-07-15,active
479,1362,350,2021-09-22,completed
480,9828,200,2023-05-05,INVALID
481,18671,3,2023-07-23,active
482,301770,157,2023-06-25,completed
483,16524,117,2023-07-16,active
484,44152,67,2020-07-07,completed
485,333940,94,2024-06-24,active
486,17473,1090,2024-01-04,active
487,25167,169,2021-08-05,completed
488,41897,123,2020-08-25,dropped
489,39537,126,2022-12-14,completed
490,47497,12,2022-12-04,active
491,49185,660,2021-04-01,dropped
492,16862,74,2022-05-15,INVALID
493,21166,5,2023-04-09,dropped
494,4743,20,2023-11-14,dropped
495,17293,4,2020-03-04,dropped
496,37387,94,2022-07-27,completed
497,15275,124,2020-02-17,dropped
498,28327,1,2024-04-18,completed
499,34928,38,2020-03-20,dropped
500,40555,159,2020-11-27,completed
501,28593,82,2021-08-29,completed
502,26867,132,2021-08-20,dropped
503,106200,18,2020-12-06,active
504,49755,87,2024-08-07,completed
505,32267,179,2024-12-18,completed
506,38005,1680,2023-12-14,INVALID
507,40200,164,2021-10-21,dropped
508,221140,85,2021-04-30,dropped
509,6583,185,2020-04-11,dropped
510,4691,186,2021-03-23,active
511,6209,194,2023-01-09,active
512,11760,167,2023-10-22,active
513,16445,78,2023-11-09,completed
514,12215,133,2020-07-02,dropped
515,441750,108,2023-04-07,completed
516,24860,27,2020-11-22,dropped
517,12126,156,2020-04-02,dropped
518,36621,153,2023-07-07,dropped
519,441570,183,2021-06-09,dropped
520,17625,24,2020-11-09,INVALID
521,35240,136,2021-03-12,dropped
522,29395,1490,2020-11-01,dropped
523,487470,107,2020-02-17,active
524,31935,68,2022-12-04,dropped
525,42773,163,2021-01-16,dropped
526,22580,124,2023-08-31,dropped
527,33404,35,2021-03-04,completed
528,35250,89,2022-10-01,completed
529,301460,40,2024-01-15,INVALID
530,15109,102,2021-05-20,active
531,26294,51,2021-02-14,dropped
532,46473,172,2021-08-25,dropped
533,20667,198,2024-01-23,active
534,29968,11,2023-10-19,completed
535,41322,87,2022-10-17,completed
536,26715,1630,2024-10-29,dropped
537,29643,173,2021-11-28,dropped
538,30302,61,2023-03-08,dropped
539,37139,74,2022-06-01,completed
540,8850,32,2022-05-11,dropped
541,3327,55,2023-07-01,active
542,43817,1780,2022-06-29,active
543,3460,26,2024-01-25,dropped
544,11503,173,2023-04-06,dropped
545,10504,880,2021-10-01,dropped
546,52314,135,2020-02-24,active
547,1515,690,2022-02-07,dropped
548,25431,172,2021-10-04,dropped
549,5826,30,2023-03-19,dropped
550,55019,390,2021-10-04,completed
551,33835,140,2022-08-26,active
552,4350,186,2022-03-11,dropped
553,19671,21,2023-12-18,active
554,2473,191,2023-05-07,completed
555,27562,184,2024-05-30,completed
556,27512,1940,2021-09-28,active
557,8046,186,2020-03-27,completed
558,26777,67,2020-12-30,completed
559,36739,180,2024-09-25,completed
560,21999,186,2024-06-02,completed
561,42199,82,2020-08-18,active
562,25619,102,2022-01-16,active
563,49005,107,2021-07-18,active
564,385470,1610,2020-05-27,dropped
565,43465,1990,2023-03-02,dropped
566,33520,64,2022-09-03,INVALID
567,482050,52,2023-03-25,completed
568,9059,193,2024-12-29,active
569,9802,27,2021-08-07,active
570,621,115,2022-08-25,completed
571,17933,117,2023-06-16,completed
572,28574,20,2024-11-28,active
573,52632,5,2022-12-25,completed
574,1523,29,2023-05-14,dropped
575,36585,13,2023-12-04,completed
576,204,77,2022-01-02,dropped
577,286900,49,2021-04-03,dropped
578,17757,106,2020-11-04,completed
579,46817,65,2023-07-04,completed
580,137630,175,2020-05-16,dropped
581,50998,171,2024-06-14,active
582,30960,133,2024-07-12,completed
583,15666,167,2021-02-15,active
584,34448,7,2022-08-09,active
585,55246,11,2024-01-27,INVALID
586,2167,160,2022-05-30,active
587,44016,155,2023-06-02,INVALID
588,19882,23,2020-02-16,active
589,35813,780,2023-10-16,INVALID
590,42448,95,2023-01-17,completed
591,30220,32,2021-01-09,active
592,16911,179,2020-01-19,dropped
593,521490,48,2020-02-19,dropped
594,21830,74,2024-02-06,dropped
595,13654,73,2021-09-24,active
596,16728,62,2024-05-10,completed
597,53878,148,2024-03-22,dropped
598,43834,68,2020-07-16,active
599,55099,199,2022-07-07,dropped
600,9249,70,2022-11-26,dropped
601,22655,130,2022-10-14,active
602,8059,44,2022-06-19,dropped
603,50441,172,2023-10-28,active
604,17415,98,2021-02-05,active
605,15724,2,2023-01-19,dropped
606,44387,17,2024-02-22,completed
607,53727,75,2023-08-04,active
608,92230,172,2021-05-05,INVALID
609,28655,180,2022-08-19,completed
610,47947,1380,2024-12-21,completed
611,103180,148,2024-02-08,active
612,29441,1690,2021-06-08,active
613,20618,76,2023-11-21,INVALID
614,20377,136,2024-07-20,completed
615,7873,163,2024-11-27,active
616,51570,54,2020-08-09,dropped
617,54109,154,2021-05-17,completed
618,4513,113,2022-03-23,dropped
619,22654,88,2020-11-22,dropped
620,35268,45,2020-05-18,INVALID
621,30792,1370,2022-12-18,active
622,40891,66,2021-11-03,active
623,20527,160,2022-08-19,active
624,27412,68,2024-10-05,active
625,3050,90,2024-09-09,active
626,21333,20,2020-09-03,active
627,39866,197,2023-10-23,dropped
628,24273,9,2023-08-08,completed
629,606,1860,2021-08-09,completed
630,10147,194,2022-02-11,active
631,35522,71,2024-05-17,active
632,18082,157,2021-10-19,active
633,528520,79,2021-05-23,active
634,42254,1570,2024-08-02,INVALID
635,41445,99,2021-12-31,active
636,52910,800,2021-03-03,completed
637,34721,166,2021-02-25,active
638,8049,151,2024-04-15,completed
639,31918,132,2022-06-09,active
640,38199,3,2020-04-19,dropped
641,22700,10,2021-05-03,active
642,49762,169,2021-08-11,INVALID
643,30070,51,2022-03-31,completed
644,12351,117,2023-01-12,dropped
645,27049,184,2023-04-14,dropped
646,6693,177,2024-06-20,completed
647,44251,119,2023-05-25,completed
648,24137,61,2020-07-07,dropped
649,13620,145,2024-09-23,active
650,17074,158,2021-10-06,completed
651,17287,76,2023-02-15,completed
652,16864,38,2022-11-21,completed
653,23148,106,2022-10-07,completed
654,40769,480,2023-03-15,active
655,36672,159,2023-11-25,active
656,52044,195,2020-04-06,completed
657,408900,71,2023-10-07,completed
658,223870,148,2023-06-13,completed
659,21820,12,2024-01-11,dropped
660,109980,17,2023-10-18,dropped
661,43183,61,2021-09-16,completed
662,334870,25,2022-07-07,active
663,53642,1990,2022-08-07,dropped
664,21685,49,2023-09-09,dropped
665,38638,179,2024-04-25,active
666,4005,19,2024-10-29,completed
667,30138,174,2023-03-16,dropped
668,27218,25,2023-10-13,completed
669,34515,158,2023-01-12,active
670,45461,830,2021-02-16,INVALID
671,20373,121,2020-04-11,dropped
672,27190,198,2020-10-13,dropped
673,28069,84,2022-01-25,completed
674,49465,84,2020-09-13,active
675,39644,940,2022-08-21,dropped
676,6248,40,2021-02-03,dropped
677,47977,131,2023-05-09,completed
678,48430,87,2020-09-12,active
679,25379,78,2020-09-20,active
680,39760,360,2021-04-02,INVALID
681,2053,136,2023-05-03,active
682,7015,1850,2021-07-02,active
683,229210,1520,2023-04-06,completed
684,24228,38,2022-06-27,dropped
685,24920,142,2024-10-10,active
686,21005,147,2020-10-31,INVALID
687,25281,780,2022-06-03,completed
688,45185,64,2021-03-22,dropped
689,42750,134,2020-04-07,completed
690,32376,23,2020-02-29,active
691,4499,139,2023-03-31,completed
692,39837,172,2024-11-01,completed
693,17724,1680,2023-12-09,dropped
694,5750,9,2023-08-08,completed
695,42811,77,2023-06-14,dropped
696,52052,74,2024-06-03,dropped
697,31832,47,2024-09-06,INVALID
698,9401,19,2023-01-23,completed
699,35605,98,2023-02-23,completed
700,28239,188,2024-01-23,completed
701,24011,82,2022-04-23,dropped
702,46283,41,2021-11-24,completed
703,32121,97,2024-04-30,dropped
704,19494,157,2021-02-12,active
705,47482,53,2023-09-30,dropped
706,14320,119,2021-01-26,active
707,22980,112,2024-02-12,active
708,765,83,2021-04-02,dropped
709,54784,11,2020-01-01,active
710,40944,169,2021-06-16,active
711,42016,67,2024-06-05,completed
712,36473,129,2020-12-22,completed
713,44864,177,2020-10-24,completed
714,27992,35,2022-05-12,dropped
715,19010,60,2020-02-23,active
716,43872,125,2021-08-27,active
717,18848,63,2024-10-26,active
718,239290,176,2024-01-26,completed
719,8180,156,2020-06-29,dropped
720,18629,132,2020-03-28,completed
721,31658,26,2022-11-17,completed
722,16480,183,2022-05-27,INVALID
723,26293,37,2022-04-08,dropped
724,28507,127,2023-04-27,dropped
725,50454,69,2023-04-16,INVALID
726,40942,88,2023-07-25,dropped
727,2039,48,2020-01-15,dropped
728,12647,150,2022-02-26,dropped
729,477120,133,2022-03-30,completed
730,28413,2,2021-11-08,completed
731,28555,47,2024-01-31,active
732,43058,77,2023-12-03,active
733,14114,143,2023-09-10,completed
734,527370,170,2023-05-02,completed
735,49822,1400,2023-01-24,completed
736,11313,35,2020-04-27,INVALID
737,22776,60,2021-08-19,dropped
738,43151,58,2020-04-30,active
739,38404,42,2022-12-15,active
740,29194,58,2024-03-16,dropped
741,40180,100,2022-04-11,completed
742,33795,166,2020-03-25,dropped
743,524260,115,2024-06-03,active
744,12875,99,2023-09-11,active
745,12678,32,2020-06-18,dropped
746,49441,116,2022-12-21,dropped
747,240460,103,2020-05-13,active
748,387440,112,2023-01-11,dropped
749,53825,3,2022-03-31,dropped
750,49927,175,2024-07-26,active
751,100880,12,2020-03-25,completed
752,23501,92,2023-07-07,completed
753,55155,52,2020-09-16,completed
754,38864,146,2020-12-28,dropped
755,42433,193,2021-03-05,INVALID
756,48157,380,2020-01-10,dropped
757,36687,171,2022-01-20,INVALID
758,116650,1400,2024-06-28,dropped
759,47001,108,2020-11-05,dropped
760,37784,166,2021-11-23,active
761,10059,131,2021-09-18,dropped
762,47060,79,2021-06-22,completed
763,37563,70,2023-02-15,completed
764,40620,152,2020-06-09,active
765,30197,15,2021-09-10,INVALID
766,54800,97,2021-07-08,dropped
767,52802,155,2021-06-27,active
768,53470,124,2024-09-26,active
769,257830,40,2020-01-04,active
770,24621,16,2022-08-21,active
771,526530,24,2020-08-06,active
772,37363,146,2020-01-08,active
773,10800,46,2023-04-27,completed
774,4130,11,2024-06-11,active
775,36842,1410,2020-05-19,INVALID
776,36622,176,2022-07-03,active
777,18353,59,2021-05-22,completed
778,23614,184,2024-11-26,dropped
779,42288,163,2024-08-10,active
780,47903,9,2023-05-20,completed
781,16630,109,2024-01-02,active
782,35454,122,2020-05-20,dropped
783,12,200,2024-09-23,dropped
784,53818,76,2020-01-11,completed
785,24974,153,2022-07-06,completed
786,29403,44,2024-05-03,active
787,49100,38,2024-03-17,active
788,39632,27,2024-02-14,active
789,904,810,2020-07-30,dropped
790,1852,102,2021-07-23,INVALID
791,9670,165,2022-01-05,completed
792,32208,36,2020-09-18,dropped
793,31915,24,2021-12-16,dropped
794,29768,182,2020-08-11,active
795,761,139,2020-02-19,dropped
796,23908,26,2024-05-03,dropped
797,4934,450,2022-04-13,dropped
798,47811,14,2021-01-06,dropped
799,47271,84,2020-12-16,INVALID
800,12717,51,2021-11-22,INVALID
801,44226,39,2021-12-04,active
802,27005,136,2022-11-12,active
803,32772,31,2022-10-09,INVALID
804,29546,159,2022-11-01,dropped
805,29730,84,2020-03-08,completed
806,136140,1240,2020-12-22,active
807,3848,26,2020-06-16,completed
808,49850,178,2024-09-16,completed
809,51044,75,2022-07-19,active
810,25342,83,2020-07-30,dropped
